distance_min,distance_max,coupling_type,medium,attachment
1078.3558,1138.5871,outside_borehole_casing,rock,cemented
1182.4845,1242.7157,outside_borehole_casing,rock,cemented
1267.2166,1327.4478,outside_borehole_casing,rock,cemented
1367.2617,1427.493,outside_borehole_casing,rock,cemented
1468.8382,1526.0068,outside_borehole_casing,rock,cemented
1557.1434,1617.3746,outside_borehole_casing,rock,cemented
1647.3882,1707.8236,outside_borehole_casing,rock,cemented
1738.1434,1798.2726,outside_borehole_casing,rock,cemented
1829.2049,1889.1299,outside_borehole_casing,rock,cemented
2170.1751,2230.9168,outside_borehole_casing,rock,cemented
2260.522,2321.2637,outside_borehole_casing,rock,cemented
2351.0731,2411.1002,outside_borehole_casing,rock,cemented
2441.7263,2501.9575,outside_borehole_casing,rock,cemented
2531.869,2592.8149,outside_borehole_casing,rock,cemented
