name,distance,x,y,z,hole_depth (m)
S100 down,1078.3558,10.829,23.665,87.752,0.0
S100 down,1080.2987,10.748,23.772,85.756,2.0
S100 down,1082.2418,10.658,23.9,83.762,4.0
S100 down,1084.1847,10.52,24.071,81.774,6.0
S100 down,1086.1276,10.36,24.313,79.795,8.0
S100 down,1088.0705,10.171,24.59,77.824,10.0
S100 down,1090.0135,9.932,24.93,75.868,12.0
S100 down,1091.9565,9.684,25.29,73.916,14.0
S100 down,1093.8994,9.411,25.665,71.97,16.0
S100 down,1095.8423,9.091,26.097,70.044,18.0
S100 down,1097.7853,8.756,26.56,68.127,20.0
S100 down,1099.7282,8.411,27.068,66.224,22.0
S100 down,1101.6711,8.073,27.617,64.331,24.0
S100 down,1103.6141,7.7,28.196,62.453,26.0
S100 down,1105.5571,7.367,28.824,60.584,28.0
S100 down,1107.5,7.024,29.473,58.723,30.0
S100 down,1108.4715,6.851,29.813,57.799,31.0
S100 up,1108.4715,6.851,29.813,57.799,31.0
S100 up,1109.4429,7.024,29.473,58.723,30.0
S100 up,1111.3858,7.367,28.824,60.584,28.0
S100 up,1113.3289,7.7,28.196,62.453,26.0
S100 up,1115.2718,8.073,27.617,64.331,24.0
S100 up,1117.2147,8.411,27.068,66.224,22.0
S100 up,1119.1576,8.756,26.56,68.127,20.0
S100 up,1121.1006,9.091,26.097,70.044,18.0
S100 up,1123.0435,9.411,25.665,71.97,16.0
S100 up,1124.9865,9.684,25.29,73.916,14.0
S100 up,1126.9294,9.932,24.93,75.868,12.0
S100 up,1128.8724,10.171,24.59,77.824,10.0
S100 up,1130.8153,10.36,24.313,79.795,8.0
S100 up,1132.7582,10.52,24.071,81.774,6.0
S100 up,1134.7012,10.658,23.9,83.762,4.0
S100 up,1136.6442,10.748,23.772,85.756,2.0
S100 up,1138.5871,10.829,23.665,87.752,0.0
S120 down,1182.4845,26.299,10.966,87.667,0.0
S120 down,1184.4274,26.252,11.03,85.668,2.0
S120 down,1186.3704,26.156,11.126,83.673,4.0
S120 down,1188.3133,26.023,11.252,81.681,6.0
S120 down,1190.2562,25.829,11.409,79.697,8.0
S120 down,1192.1991,25.613,11.603,77.718,10.0
S120 down,1194.1422,25.352,11.83,75.748,12.0
S120 down,1196.0851,25.061,12.088,73.786,14.0
S120 down,1198.028,24.754,12.342,71.826,16.0
S120 down,1199.9709,24.379,12.667,69.889,18.0
S120 down,1201.9139,23.946,13.047,67.974,20.0
S120 down,1203.8569,23.483,13.435,66.067,22.0
S120 down,1205.7998,22.989,13.911,64.189,24.0
S120 down,1207.7427,22.471,14.446,62.332,26.0
S120 down,1209.6857,21.902,15.009,60.499,28.0
S120 down,1211.6286,21.338,15.616,58.679,30.0
S120 down,1212.6001,21.061,15.926,57.77,31.0
S120 up,1212.6001,21.061,15.926,57.77,31.0
S120 up,1213.5715,21.338,15.616,58.679,30.0
S120 up,1215.5145,21.902,15.009,60.499,28.0
S120 up,1217.4575,22.471,14.446,62.332,26.0
S120 up,1219.4004,22.989,13.911,64.189,24.0
S120 up,1221.3433,23.483,13.435,66.067,22.0
S120 up,1223.2862,23.946,13.047,67.974,20.0
S120 up,1225.2293,24.379,12.667,69.889,18.0
S120 up,1227.1722,24.754,12.342,71.826,16.0
S120 up,1229.1151,25.061,12.088,73.786,14.0
S120 up,1231.058,25.352,11.83,75.748,12.0
S120 up,1233.001,25.613,11.603,77.718,10.0
S120 up,1234.9439,25.829,11.409,79.697,8.0
S120 up,1236.8869,26.023,11.252,81.681,6.0
S120 up,1238.8298,26.156,11.126,83.673,4.0
S120 up,1240.7728,26.252,11.03,85.668,2.0
S120 up,1242.7157,26.299,10.966,87.667,0.0
S140 down,1267.2166,41.619,-1.897,87.688,0.0
S140 down,1269.1595,41.58,-1.85,85.689,2.0
S140 down,1271.1025,41.475,-1.759,83.693,4.0
S140 down,1273.0454,41.312,-1.647,81.703,6.0
S140 down,1274.9883,41.12,-1.543,79.715,8.0
S140 down,1276.9313,40.873,-1.409,77.735,10.0
S140 down,1278.8743,40.563,-1.244,75.766,12.0
S140 down,1280.8172,40.201,-1.063,73.808,14.0
S140 down,1282.7601,39.837,-0.834,71.854,16.0
S140 down,1284.703,39.442,-0.592,69.909,18.0
S140 down,1286.6461,38.987,-0.319,67.98,20.0
S140 down,1288.589,38.499,-0.02,66.064,22.0
S140 down,1290.5319,38.003,0.326,64.158,24.0
S140 down,1292.4748,37.493,0.703,62.261,26.0
S140 down,1294.4178,36.942,1.095,60.378,28.0
S140 down,1296.3607,36.38,1.535,58.51,30.0
S140 down,1297.3322,36.096,1.761,57.579,31.0
S140 up,1297.3322,36.096,1.761,57.579,31.0
S140 up,1298.3037,36.38,1.535,58.51,30.0
S140 up,1300.2466,36.942,1.095,60.378,28.0
S140 up,1302.1896,37.493,0.703,62.261,26.0
S140 up,1304.1325,38.003,0.326,64.158,24.0
S140 up,1306.0754,38.499,-0.02,66.064,22.0
S140 up,1308.0184,38.987,-0.319,67.98,20.0
S140 up,1309.9614,39.442,-0.592,69.909,18.0
S140 up,1311.9043,39.837,-0.834,71.854,16.0
S140 up,1313.8472,40.201,-1.063,73.808,14.0
S140 up,1315.7901,40.563,-1.244,75.766,12.0
S140 up,1317.7332,40.873,-1.409,77.735,10.0
S140 up,1319.6761,41.12,-1.543,79.715,8.0
S140 up,1321.619,41.312,-1.647,81.703,6.0
S140 up,1323.5619,41.475,-1.759,83.693,4.0
S140 up,1325.5049,41.58,-1.85,85.689,2.0
S140 up,1327.4478,41.619,-1.897,87.688,0.0
S160 down,1367.2617,57.066,-14.658,87.792,0.0
S160 down,1369.2236,57.028,-14.605,85.793,2.0
S160 down,1371.1855,56.973,-14.531,83.795,4.0
S160 down,1373.1476,56.85,-14.436,81.801,6.0
S160 down,1375.1095,56.696,-14.338,79.809,8.0
S160 down,1377.0714,56.531,-14.242,77.818,10.0
S160 down,1379.0333,56.347,-14.093,75.832,12.0
S160 down,1380.9953,56.1,-13.947,73.853,14.0
S160 down,1382.9572,55.77,-13.784,71.887,16.0
S160 down,1384.9191,55.362,-13.603,69.938,18.0
S160 down,1386.881,54.86,-13.381,68.014,20.0
S160 down,1388.843,54.369,-13.133,66.092,22.0
S160 down,1390.8049,53.813,-12.858,64.19,24.0
S160 down,1392.7668,53.262,-12.551,62.292,26.0
S160 down,1394.7287,52.681,-12.207,60.41,28.0
S160 down,1396.6907,52.054,-11.828,58.549,30.0
S160 down,1397.3774,51.84,-11.698,57.895,30.7
S160 up,1397.3774,51.84,-11.698,57.895,30.7
S160 up,1398.064,52.054,-11.828,58.549,30.0
S160 up,1400.026,52.681,-12.207,60.41,28.0
S160 up,1401.9879,53.262,-12.551,62.292,26.0
S160 up,1403.9498,53.813,-12.858,64.19,24.0
S160 up,1405.9117,54.369,-13.133,66.092,22.0
S160 up,1407.8737,54.86,-13.381,68.014,20.0
S160 up,1409.8356,55.362,-13.603,69.938,18.0
S160 up,1411.7975,55.77,-13.784,71.887,16.0
S160 up,1413.7595,56.1,-13.947,73.853,14.0
S160 up,1415.7215,56.347,-14.093,75.832,12.0
S160 up,1417.6834,56.531,-14.242,77.818,10.0
S160 up,1419.6453,56.696,-14.338,79.809,8.0
S160 up,1421.6072,56.85,-14.436,81.801,6.0
S160 up,1423.5692,56.973,-14.531,83.795,4.0
S160 up,1425.5311,57.028,-14.605,85.793,2.0
S160 up,1427.493,57.066,-14.658,87.792,0.0
S180 down,1468.8382,72.417,-27.218,87.805,0.0
S180 down,1470.8232,72.364,-27.13,85.807,2.0
S180 down,1472.8082,72.237,-27.04,83.813,4.0
