distance_min,distance_max,group,value
1078.3558,1138.5871,borehole,S100
1078.3558,1108.4715,leg,down
1108.4715,1138.5871,leg,up
1078.3558,1138.5871,drift,south
1182.4845,1242.7157,borehole,S120
1182.4845,1212.6001,leg,down
1212.6001,1242.7157,leg,up
1182.4845,1242.7157,drift,south
1267.2166,1327.4478,borehole,S140
1267.2166,1297.3322,leg,down
1297.3322,1327.4478,leg,up
1267.2166,1327.4478,drift,south
1367.2617,1427.493,borehole,S160
1367.2617,1397.3774,leg,down
1397.3774,1427.493,leg,up
1367.2617,1427.493,drift,south
1468.8382,1526.0068,borehole,S180
1468.8382,1497.4225,leg,down
1497.4225,1526.0068,leg,up
1468.8382,1526.0068,drift,south
1557.1434,1617.3746,borehole,S170
1557.1434,1587.259,leg,down
1587.259,1617.3746,leg,up
1557.1434,1617.3746,drift,south
1647.3882,1707.8236,borehole,S150
1647.3882,1677.6059,leg,down
1677.6059,1707.8236,leg,up
1647.3882,1707.8236,drift,south
1738.1434,1798.2726,borehole,S130
1738.1434,1768.208,leg,down
1768.208,1798.2726,leg,up
1738.1434,1798.2726,drift,south
1829.2049,1889.1299,borehole,S110
1829.2049,1859.1674,leg,down
1859.1674,1889.1299,leg,up
1829.2049,1889.1299,drift,south
2170.1751,2230.9168,borehole,N100
2170.1751,2200.546,leg,down
2200.546,2230.9168,leg,up
2170.1751,2230.9168,drift,north
2260.522,2321.2637,borehole,N120
2260.522,2290.8929,leg,down
2290.8929,2321.2637,leg,up
2260.522,2321.2637,drift,north
2351.0731,2411.1002,borehole,N140
2351.0731,2381.0867,leg,down
2381.0867,2411.1002,leg,up
2351.0731,2411.1002,drift,north
2441.7263,2501.9575,borehole,N160
2441.7263,2471.8419,leg,down
2471.8419,2501.9575,leg,up
2441.7263,2501.9575,drift,north
2531.869,2592.8149,borehole,N180
2531.869,2562.3419,leg,down
2562.3419,2592.8149,leg,up
2531.869,2592.8149,drift,north
