object_type,distance_min,distance_max,name,container,loss_db,loss_measurement,reflectance_db,reflectance_measurement
FiberSegment,0,305,fiber to 305 m,telemetry-cable,,,,
Splice,305,,splice 1,,0.326,otdr-channel-3,,
FiberSegment,305,637,fiber to 637 m,telemetry-cable,,,,
Splice,637,,splice 2,,0.235,otdr-channel-3,,
FiberSegment,637,803,fiber to 803 m,telemetry-cable,,,,
Splice,803,,splice 3,,0.415,otdr-channel-3,,
FiberSegment,803,965,fiber to 965 m,telemetry-cable,,,,
Splice,965,,splice 4,,0.222,otdr-channel-3,,
FiberSegment,965,1064,fiber to 1064 m,telemetry-cable,,,,
Splice,1064,,splice 5,,0.229,otdr-channel-3,,
FiberSegment,1064,1540.6,fiber to 1540.6 m,strain-cable-vertical,,,,
Splice,1540.6,,vertical to inclined cable junction,,,,,
FiberSegment,1540.6,1557.8,fiber to 1557.8 m,strain-cable-inclined,,,,
Splice,1557.8,,"S170 top, down leg",,0.257,otdr-channel-3,,
FiberSegment,1557.8,1584.7,fiber to 1584.7 m,strain-cable-inclined,,,,
Splice,1584.7,,S170 bottom,,,,,
FiberSegment,1584.7,1618.1,fiber to 1618.1 m,strain-cable-inclined,,,,
Splice,1618.1,,"S170 top, up leg",,0.213,otdr-channel-3,,
FiberSegment,1618.1,1639.8,fiber to 1639.8 m,strain-cable-inclined,,,,
Splice,1639.8,,S170 to S150 junction,,,,,
FiberSegment,1639.8,1647.5,fiber to 1647.5 m,strain-cable-inclined,,,,
Splice,1647.5,,"S150 top, down leg",,,,,
FiberSegment,1647.5,1675.3,fiber to 1675.3 m,strain-cable-inclined,,,,
Splice,1675.3,,S150 bottom,,,,,
FiberSegment,1675.3,1707.9,fiber to 1707.9 m,strain-cable-inclined,,,,
Splice,1707.9,,"S150 top, up leg",,,,,
FiberSegment,1707.9,1723.1,fiber to 1723.1 m,strain-cable-inclined,,,,
Splice,1723.1,,S150 to S130 junction,,,,,
FiberSegment,1723.1,1738.3,fiber to 1738.3 m,strain-cable-inclined,,,,
Splice,1738.3,,"S130 top, down leg",,0.28,otdr-channel-3,,
FiberSegment,1738.3,1767.9,fiber to 1767.9 m,strain-cable-inclined,,,,
Splice,1767.9,,S130 bottom,,,,,
FiberSegment,1767.9,1798.8,fiber to 1798.8 m,strain-cable-inclined,,,,
Splice,1798.8,,"S130 top, up leg",,,,,
FiberSegment,1798.8,1814,fiber to 1814 m,strain-cable-inclined,,,,
Splice,1814,,S130 to S110 junction,,,,,
FiberSegment,1814,1829.3,fiber to 1829.3 m,strain-cable-inclined,,,,
Splice,1829.3,,"S110 top, down leg",,,,,
FiberSegment,1829.3,1858.6,fiber to 1858.6 m,strain-cable-inclined,,,,
Splice,1858.6,,S110 bottom,,,,,
FiberSegment,1858.6,1889.4,fiber to 1889.4 m,strain-cable-inclined,,,,
Splice,1889.4,,"S110 top, up leg",,0.272,otdr-channel-3,,
FiberSegment,1889.4,1904.8,fiber to 1904.8 m,strain-cable-inclined,,,,
Splice,1904.8,,S110 to N100 junction,,,,,
FiberSegment,1904.8,2008.1,fiber to 2008.1 m,strain-cable-inclined,,,,
Splice,2008.1,,south to north drift splice 1,,0.236,otdr-channel-3,,
FiberSegment,2008.1,2155.7,fiber to 2155.7 m,strain-cable-inclined,,,,
Splice,2155.7,,south to north drift splice 2,,,,,
FiberSegment,2155.7,2170.4,fiber to 2170.4 m,strain-cable-inclined,,,,
Splice,2170.4,,"N100 top, down leg",,,,,
FiberSegment,2170.4,2201.1,fiber to 2201.1 m,strain-cable-inclined,,,,
Splice,2201.1,,N100 bottom,,,,,
FiberSegment,2201.1,2230.9,fiber to 2230.9 m,strain-cable-inclined,,,,
Splice,2230.9,,"N100 top, up leg",,,,,
FiberSegment,2230.9,2245.3,fiber to 2245.3 m,strain-cable-inclined,,,,
Splice,2245.3,,N100 to N120 junction,,,,,
FiberSegment,2245.3,2260.7,fiber to 2260.7 m,strain-cable-inclined,,,,
Splice,2260.7,,"N120 top, down leg",,0.253,otdr-channel-3,,
FiberSegment,2260.7,2291.5,fiber to 2291.5 m,strain-cable-inclined,,,,
Splice,2291.5,,N120 bottom,,,,,
FiberSegment,2291.5,2321.2,fiber to 2321.2 m,strain-cable-inclined,,,,
Splice,2321.2,,"N120 top, up leg",,,,,
FiberSegment,2321.2,2336.3,fiber to 2336.3 m,strain-cable-inclined,,,,
Splice,2336.3,,N120 to N140 junction,,0.297,otdr-channel-3,,
FiberSegment,2336.3,2351.3,fiber to 2351.3 m,strain-cable-inclined,,,,
Splice,2351.3,,"N140 top, down leg",,,,,
FiberSegment,2351.3,2380.7,fiber to 2380.7 m,strain-cable-inclined,,,,
Splice,2380.7,,N140 bottom,,,,,
FiberSegment,2380.7,2411.6,fiber to 2411.6 m,strain-cable-inclined,,,,
Splice,2411.6,,"N140 top, up leg",,,,,
FiberSegment,2411.6,2428.1,fiber to 2428.1 m,strain-cable-inclined,,,,
Splice,2428.1,,N140 to N160 junction,,0.485,otdr-channel-3,,
FiberSegment,2428.1,2441.6,fiber to 2441.6 m,strain-cable-inclined,,,,
